frequency,sdre_mean,sdre_std,n_subjects,delta_power,theta_power,alpha_power,beta_power,plv,order_parameter,sdr
2.0,-0.02923338113313845,0.46523924685029094,208,0.6263383652463961,0.13748418468250664,0.12144876576850423,0.1147286843025931,0.28472544475873635,0.27514462890657143,4.447534111424007
2.25,-0.006471076192575217,0.5706809008230936,208,0.6265798045243643,0.138408042275446,0.12124998254265375,0.1137621706575359,0.288193038991826,0.28288453122447926,4.47029641636457
2.5,0.027765440831140496,0.47138024564026637,208,0.6283455280772811,0.13767115747315034,0.12018023491354102,0.11380307953602752,0.2934293532243276,0.28163240572980874,4.504532933388285
2.75,-0.015640197459472302,0.5619104334009521,208,0.6263147421840946,0.13896704021900635,0.12067360146734225,0.1140446161295569,0.2860652695126971,0.27856933839068954,4.461127295097673
3.0,-0.06259435900170031,0.527249162295213,208,0.6260841908139032,0.13883323773958078,0.12127129480435159,0.11381127664216445,0.2777171474584935,0.26977214736703625,4.414173133555445
3.25,0.027685092336651694,0.5337857986559107,208,0.629769579918785,0.13670019736132766,0.11990266764077179,0.11362755507911561,0.2758222044301957,0.26763686845592216,4.504452584893797
3.5,0.00030073541941203944,0.5011294443179991,208,0.6274160750736825,0.13705825713463649,0.12173167117482518,0.11379399661685587,0.28439196557792673,0.27745463175057317,4.477068227976558
3.75,-0.05662355760723687,0.5240263406243163,208,0.6281549837910199,0.13620170970679185,0.12227605353515679,0.11336725296703148,0.2662825260153057,0.2581422392366298,4.420143934949908
4.0,-0.0009504992795106363,0.686530531390735,208,0.6267843584262347,0.13818419778600355,0.12125254620917102,0.11377889757859067,0.28292732651980956,0.2732756877301453,4.475816993277634
4.25,-0.04268335288385853,0.5405595356328977,208,0.6261908443059773,0.13780262059320902,0.12171225777288507,0.11429427732792871,0.27712897715213997,0.2687076647601989,4.434084139673287
4.5,0.020544324851433624,0.5853630022908354,208,0.6260237432959758,0.13904642505234127,0.12112958273363181,0.11380024891805116,0.2833032608734715,0.27294351590296057,4.497311817408579
4.75,-0.04761288978029258,0.5464479504800458,208,0.6262025272872693,0.13896368031969702,0.12062402678053787,0.11420976561249578,0.28337281842598483,0.2759081957144387,4.429154602776853
5.0,-0.00033812607377115586,0.4835283080790066,208,0.6266325640884788,0.1383120509450343,0.12011449214333564,0.11494089282315122,0.289548771445537,0.2795160477647914,4.476429366483374
5.25,-0.022032237119891992,0.5278976746844489,208,0.6258124676923125,0.13867871296780554,0.12072927546339357,0.11477954387648845,0.27821215381025105,0.26728627767436747,4.454735255437253
5.5,0.022978360926744466,0.5714999103069228,208,0.6275357086486159,0.13827967939819308,0.12019380379454704,0.11399080815864403,0.28479991102267604,0.2716339090355792,4.49974585348389
5.75,-0.03490906582359864,1.096208783294747,208,0.6251344985945366,0.14060800681431024,0.1200384700908755,0.11421902450027764,0.28700171395541385,0.28098979211276676,4.441858426733547
6.0,-0.01481096517421022,0.5618557806186454,208,0.6253211253929384,0.1391883753044694,0.1217185076005319,0.11377199170206026,0.283047809215924,0.2712365701266997,4.4619565273829345
6.25,-0.05166897174464418,0.5111708315193315,208,0.623885038033134,0.13905221934689724,0.12244320721398937,0.11461953540597944,0.2822685413507606,0.2713845199910958,4.425098520812501
6.5,-0.024006247197436662,0.48424968917024347,208,0.6260388063161606,0.13901252919851662,0.12075373228746164,0.11419493219786109,0.28154178482218994,0.26800618441469637,4.452761245359708
6.75,0.039382478040203825,0.5434860496890631,208,0.63071697215836,0.1364427027533657,0.11942922911115741,0.11341109597711684,0.28868580778331804,0.2753066337769875,4.516149970597349
7.0,-0.07571126497572468,0.6661278948167585,208,0.6254849974174838,0.13886625004404116,0.12169024923171187,0.11395850330676328,0.281743806350747,0.2725344742551519,4.40105622758142
7.25,0.024599158880094656,0.5664428559417523,208,0.6267720779429881,0.13869489773359897,0.12072637752961034,0.1138066467938026,0.2813186373902345,0.26972516878112796,4.501366651437239
7.5,-0.014292386876094295,0.6729478469449895,208,0.6296246718193903,0.13724061738057086,0.11970162084792091,0.11343308995211794,0.2772422127182491,0.26532764527960495,4.462475105681051
7.75,0.005835243061957775,0.5386907631163342,208,0.6273766642772606,0.13870745750016905,0.12006307903960758,0.11385279918296275,0.2874267382405977,0.27665458711372437,4.4826027356191025
8.0,-0.004418612441759414,0.56378843943632,208,0.6255851081729591,0.1399374004814066,0.11922521356089237,0.11525227778474188,0.2817763741137147,0.2727994189381588,4.472348880115385
8.25,-0.04749966387440861,0.532146303116307,208,0.6248533599827495,0.13865304070112602,0.12131694267390139,0.11517665664222304,0.27915008326874996,0.27586773654023017,4.429267828682736
8.5,0.007729901712112136,0.4954927626166903,208,0.6273376182965301,0.1385779506553641,0.12036016157940396,0.1137242694687018,0.28011789939314113,0.2729405021105637,4.484497394269257
8.75,0.0061723679313068274,0.5625975744106796,208,0.6261308604317223,0.1384433794164637,0.12069029170872766,0.11473546844308634,0.2826108930507769,0.2717396295342857,4.482939860488452
9.0,-0.013961866995418097,0.49542667275431457,208,0.6249816919562716,0.13889862923692753,0.12184939867778022,0.11427028012902073,0.29229708765396156,0.2790434013354625,4.462805625561727
9.25,-0.018195756994576914,0.47396644703785556,208,0.6276370830064892,0.1368098659565196,0.12084088976607868,0.11471216127091254,0.27661629833279944,0.2662323367461215,4.458571735562568
9.5,0.0016012032070780253,0.531102530783017,208,0.6277177545900877,0.1384741633805686,0.11963329765287689,0.11417478437646673,0.281585239133253,0.27475751122293,4.478368695764224
9.75,-0.002100883108974702,0.5262486929477361,208,0.6226982835733327,0.13990603920463804,0.12196737228798038,0.115428304934049,0.27960318530346145,0.2744879972987192,4.47466660944817
10.0,0.017030383679974385,0.5955368950880279,208,0.6270808737866317,0.13792576711344665,0.12059214108584297,0.11440121801407879,0.28152283483319324,0.27499706072081487,4.493797876237119
10.25,-0.020176057705902115,0.5220444902667893,208,0.6273574152991307,0.13712572488806363,0.12097994754288072,0.11453691226992498,0.2784473091098677,0.2731319736133673,4.4565914348512425
10.5,-0.0246198016313143,0.5586703833803396,208,0.6252829764721342,0.1399582336762858,0.12115767927026878,0.11360111058131131,0.29232908201308905,0.2802447015369215,4.45214769092583
10.75,-0.03211932783515257,0.5361921521841241,208,0.6264814754672737,0.13797163824387526,0.12123973040404273,0.11430715588480832,0.2768268838117997,0.27517243162170735,4.444648164721992
11.0,-0.010619675591357753,0.6091669465161067,208,0.6289839151601048,0.13736326019657472,0.12007347210709796,0.11357935253622259,0.2888218268949184,0.2778289931973154,4.466147816965788
11.25,-0.02520115410741473,0.5570919965904441,208,0.6232328452975501,0.13938792323451787,0.12230028465917481,0.11507894680875727,0.28393930448609,0.27415043243269577,4.451566338449731
11.5,0.004394334778003884,0.501528100849025,208,0.6277453833452563,0.1376345997424264,0.12028136904412509,0.11433864786819226,0.28578986762701875,0.277806012143211,4.481161827335149
11.75,-0.014505899801427379,0.5862526476703446,208,0.6254529213419465,0.13838428017508073,0.12060114471101516,0.11556165377195762,0.2828088480466099,0.275260924253335,4.462261592755718
12.0,0.030275318407232077,0.4957910522296738,208,0.6267427642114829,0.13916251886355335,0.12021854303360652,0.11387617389135725,0.279078442288751,0.27129873370655955,4.507042810964378
12.25,-0.008680963149650809,0.5607061299325223,208,0.6231896647445816,0.14069509742114986,0.12124520994486396,0.11487002788940462,0.28812214137104275,0.2768210450510453,4.468086529407494
12.5,0.04737903691045485,0.5201248646221553,208,0.627171375925375,0.13947328863771108,0.11946072400745811,0.1138946114294558,0.2821738060567255,0.2714320041083206,4.5241465294675995
12.75,-0.02382022781209562,0.5216552246099307,208,0.6273034938825636,0.13735039353486517,0.12145335171853419,0.113892760864037,0.28010664405501706,0.2745911339809522,4.45294726474505
13.0,0.027886906436567657,0.5779363911624609,208,0.6259082204762495,0.13971254690095145,0.12064560834517078,0.11373362427762829,0.28508649291224664,0.274941128886182,4.504654398993713
13.25,-0.03644394652850226,0.5491045451791369,208,0.6254406210736658,0.13883406752702523,0.12093953630650765,0.11478577509280127,0.2923330391202208,0.27579082541944966,4.440323546028643
13.5,-0.03288458692327054,0.5011350245716303,208,0.624294901520207,0.1394268227785431,0.12163406649910528,0.1146442092021446,0.2832358041702196,0.2737471233155601,4.443882905633875
13.75,-0.013827823690473938,0.4594339182911628,208,0.6259425456857101,0.13787555688969097,0.12149512973950533,0.11468676768509363,0.28108853978637177,0.27282786898301203,4.462939668866671
14.0,0.02632236464431522,0.5423474186286253,208,0.6263851601630092,0.1400851688711864,0.12005739239887009,0.11347227856693427,0.2870264237282662,0.2746103246603849,4.50308985720146
